iter	Passed	Remaining
237	385	1234
238	386	1232
239	388	1230
240	391	1233
241	393	1231
242	395	1231
243	396	1229
244	398	1228
245	400	1226
246	401	1224
247	402	1221
248	404	1219
249	405	1216
250	406	1214
251	409	1216
252	411	1214
253	412	1212
254	413	1209
255	415	1206
256	416	1204
257	418	1202
258	419	1199
259	420	1197
260	421	1194
261	423	1191
262	424	1189
263	426	1189
264	428	1187
265	429	1185
266	431	1184
267	432	1181
268	434	1179
269	435	1177
270	436	1174
271	437	1171
272	439	1169
273	440	1166
274	441	1164
275	442	1162
276	445	1162
277	446	1159
278	447	1157
279	449	1155
280	450	1153
281	451	1150
282	453	1147
283	454	1145
284	455	1143
285	456	1140
286	458	1138
287	459	1136
288	460	1133
289	462	1132
290	464	1130
291	465	1128
292	466	1125
293	467	1123
294	469	1120
295	470	1118
296	471	1116
297	472	1114
298	474	1111
299	475	1109
300	476	1107
301	478	1105
302	480	1105
303	481	1103
304	483	1100
305	484	1098
306	485	1096
307	487	1095
308	488	1093
309	490	1090
310	491	1088
311	492	1086
312	493	1083
313	495	1081
314	496	1079
315	498	1078
316	499	1076
317	501	1074
318	502	1072
319	503	1070
320	505	1068
321	506	1066
322	507	1063
323	508	1061
324	509	1059
325	511	1056
326	512	1054
327	513	1052
328	515	1051
329	517	1049
330	518	1047
331	519	1046
332	521	1044
333	522	1042
334	524	1040
335	525	1038
336	526	1036
337	527	1034
338	529	1031
339	530	1029
340	532	1028
341	533	1026
342	535	1024
343	536	1023
344	537	1021
345	539	1019
346	541	1018
347	542	1016
348	543	1014
349	544	1012
350	546	1009
351	547	1007
352	548	1005
353	550	1003
354	551	1001
355	552	1000
356	554	998
357	555	996
358	556	994
359	558	992
360	559	990
361	561	988
362	562	986
363	563	984
364	564	982
365	566	980
366	568	980
367	570	979
368	571	977
369	573	976
370	574	974
371	576	973
372	578	971
373	579	970
374	580	968
375	582	965
376	583	964
377	584	962
378	586	961
379	588	960
380	589	958
381	590	956
382	592	954
383	593	952
384	595	950
385	596	948
386	597	946
387	598	944
388	600	942
389	601	940
390	603	939
391	605	938
392	606	936
393	608	935
394	609	933
395	610	931
396	612	929
397	613	927
398	614	926
399	615	923
400	617	921
401	618	919
402	619	917
403	621	916
404	623	915
405	624	913
406	626	912
407	627	910
408	628	908
409	629	906
410	631	904
411	632	902
412	633	900
413	634	898
414	636	896
415	637	894
416	639	893
417	640	892
418	642	890
419	643	888
420	644	886
421	646	884
422	647	883
423	648	881
424	649	879
425	651	877
426	652	875
427	653	873
428	654	871
429	657	870
430	658	869
431	660	867
432	661	866
433	662	864
434	664	862
435	665	860
436	666	859
437	668	857
438	669	855
439	670	853
440	671	851
441	673	849
442	674	848
443	676	847
444	677	845
445	679	843
446	680	841
447	681	840
448	683	838
449	684	836
450	685	834
451	686	832
452	688	830
453	689	828
454	690	827
455	692	826
456	694	825
457	695	823
458	697	821
459	698	820
460	700	818
461	701	816
462	702	814
463	703	812
464	705	811
465	706	809
466	707	807
467	708	805
468	710	804
469	712	803
470	713	801
471	715	799
